equipment_id,temperature,vibration,last_maintenance
855e8ee1,133,34,2025-05-09
9d75babc,69,27,2025-04-10
a55fa6cf,56,15,2025-02-13
ebacf180,131,8,2025-01-13
54982a90,136,71,2025-02-13
f987efad,142,27,2025-03-18
2aae06c2,110,28,2025-05-02
9895bfaa,147,56,2025-05-25
beb8114a,114,97,2025-05-19
74d9bef6,68,76,2025-04-03
4a02419f,149,55,2025-05-07
e3af1523,91,98,2025-05-25
0d070175,130,70,2025-01-29
1db44372,80,100,2025-01-26
afff5065,93,4,2025-01-22
c112dbe7,59,10,2025-01-06
c48951ca,81,24,2025-05-06
2681855d,137,66,2025-05-18
8323f8dc,85,30,2025-02-10
82d9f5a7,94,64,2025-03-21
439a088a,124,100,2025-05-29
d11a9347,143,89,2025-05-24
c5fc9532,122,4,2025-02-08
fbc4ebde,111,89,2025-03-11
a8de4609,150,40,2025-02-07
f93dda2e,59,1,2025-03-22
b878f7ba,128,18,2025-03-13
79ebd754,61,67,2025-01-18
d232d059,72,19,2025-02-06
51a4c9a2,113,35,2025-03-02
bd44f5cb,114,62,2025-06-01
778f9573,106,45,2025-03-27
d1cb71aa,118,72,2025-04-02
e9dfda8c,120,15,2025-04-07
fa939812,117,92,2025-06-02
623f84c4,132,41,2025-01-31
fa97fa50,120,41,2025-02-09
1c30faec,137,21,2025-03-07
3331ca92,149,41,2025-03-11
e4f0a7ed,85,49,2025-05-14
7f984d74,121,64,2025-03-23
2adb1916,149,5,2025-03-26
896a893e,85,63,2025-03-24
cfbc8343,60,96,2025-03-05
e7d82bd8,83,45,2025-04-03
97d8da06,149,7,2025-01-31
14feaf83,147,51,2025-02-16
4a8c7b78,65,89,2025-02-19
d5d7b61d,55,65,2025-02-27
9cb9e1b8,91,87,2025-01-13
7ad5d1b1,141,36,2025-02-23
3babb3fe,71,64,2025-05-06
ff1ba63e,65,76,2025-03-16
dc223628,56,58,2025-05-13
bab710df,81,69,2025-05-15
b42018af,131,35,2025-01-23
29029983,131,69,2025-01-21
83c26c74,115,7,2025-01-22
916f7914,128,1,2025-05-08
71bf7aec,133,25,2025-02-17
29fca1a7,66,74,2025-03-29
43d6fa09,67,83,2025-03-29
f15ce2b0,103,61,2025-05-13
e496e965,134,28,2025-03-18
4a3f46ed,139,7,2025-03-11
ed4b9a82,64,56,2025-03-28
f52b6391,79,47,2025-05-18
da092749,91,4,2025-06-07
db1b773f,58,52,2025-05-16
e31b4482,104,44,2025-05-21
8f0d70d0,71,79,2025-03-25
7568d69d,131,85,2025-01-31
1c81fb00,142,46,2025-02-05
2d0caf08,88,19,2025-04-06
6f2f2d15,87,56,2025-03-06
1cf88083,69,77,2025-02-27
6e114dbe,55,23,2025-03-27
13761001,75,2,2025-05-25
2ffd5c8f,124,81,2025-03-10
f31a4aa6,109,13,2025-04-26
437527b0,144,81,2025-04-14
1bb0a825,134,53,2025-05-22
c56ee133,106,16,2025-01-25
48b2efb3,52,86,2025-05-31
e8dc8fcf,56,56,2025-05-20
1bb5eecb,64,39,2025-02-02
4be8b47e,92,77,2025-01-28
9bb14e82,89,7,2025-04-25
99dc21e3,51,29,2025-05-29
d96df0ef,54,90,2025-06-03
f82bc0c2,85,2,2025-05-15
7c276bbb,126,22,2025-03-14
9295968d,121,54,2025-05-20
4cfbbbc0,61,23,2025-02-27
082e5e8e,128,38,2025-02-23
6c9f46b1,150,100,2025-01-23
a5cf8524,126,68,2025-03-29
7bab8b24,111,65,2025-05-30
94f842c6,65,88,2025-06-07
cd7816bd,110,50,2025-03-12
1ac7e17a,128,74,2025-01-15
6d20ab88,93,91,2025-02-19
2ec9a033,89,64,2025-05-31
da700337,120,6,2025-05-16
c2a2e000,65,75,2025-04-19
69ffbd4e,106,66,2025-04-03
91a48a27,87,24,2025-02-24
ea96316b,57,57,2025-04-19
60caaf0b,135,56,2025-03-24
9e1cdc94,90,79,2025-02-18
8268124b,140,50,2025-02-13
6c1010b5,78,74,2025-02-20
b1816900,55,52,2025-02-05
ff0e0e3e,56,50,2025-03-22
a5341c5f,71,66,2025-03-25
d5f632c0,60,85,2025-02-17
95f24aa1,87,94,2025-01-25
ade4570c,93,27,2025-05-19
1af98375,60,26,2025-02-07
946dd337,103,22,2025-05-10
29eec8ab,99,60,2025-03-19
dd3d011c,93,84,2025-05-30
7b2063c6,135,40,2025-02-01
e4286e19,71,21,2025-04-25
b2e46afe,139,53,2025-04-05
e3835da0,120,1,2025-03-16
d66b1705,63,69,2025-02-19
8764be83,142,21,2025-04-30
1d4f4640,77,76,2025-02-21
af1a1990,117,84,2025-05-27
0540ec91,90,31,2025-03-18
98f34dd7,104,83,2025-04-04
9314d08c,96,59,2025-04-27
b0454871,90,30,2025-01-07
be2f3f35,120,1,2025-05-08
21d2816c,112,33,2025-03-09
53a3738e,124,75,2025-02-10
1e6140fe,133,87,2025-01-03
0c14c80e,91,88,2025-03-14
08b2d88d,77,75,2025-04-05
ac19f0f9,52,54,2025-01-26
4bfadcc1,136,30,2025-02-19
b514387a,76,70,2025-05-02
e3727457,109,19,2025-04-13
b5bd4b10,120,62,2025-05-12
2191f0b8,93,70,2025-04-11
a6de8422,58,79,2025-03-11
655b7a5d,137,30,2025-04-15
2b90c894,60,80,2025-01-14
e06ada0d,63,50,2025-01-27
52d2a812,66,3,2025-04-08
3775103d,64,16,2025-03-25
86dec97f,82,76,2025-03-04
d97c3c1a,69,49,2025-02-08
38bfdfca,106,67,2025-01-12
468c1eaa,116,35,2025-01-05
ef250321,89,10,2025-01-03
48006482,50,30,2025-01-27
e09d605e,51,56,2025-03-16
10f792e2,126,49,2025-04-26
f818ac9d,51,77,2025-01-03
f0075ee4,108,83,2025-02-15
a78c0bcb,139,90,2025-05-12
281843b4,150,32,2025-02-04
28243bc5,61,35,2025-06-06
17dafed7,63,94,2025-02-25
e71f45ed,107,86,2025-03-29
6f31018c,133,74,2025-03-16
b49dba90,85,61,2025-06-07
a4c852eb,106,81,2025-02-11
81fa08db,84,57,2025-03-25
a0a79088,113,57,2025-05-28
e187e188,135,41,2025-04-04
a33feb70,88,44,2025-01-11
e3c42ef2,102,36,2025-04-11
2fd70b61,117,58,2025-03-15
5d667830,79,33,2025-02-08
5480d387,116,76,2025-02-12
de80175c,85,14,2025-03-03
f32498fb,134,85,2025-02-18
42f59df8,50,65,2025-04-05
2ae0ae85,74,15,2025-05-10
fcb0b2e7,148,16,2025-04-28
ba988864,84,82,2025-03-27
e9c0950e,116,78,2025-05-19
c2389700,146,61,2025-01-15
535ccbe5,129,50,2025-05-22
33ea1ed0,57,9,2025-05-28
d16ee66f,113,55,2025-02-05
d427bd4f,84,60,2025-01-07
15de87c6,119,43,2025-06-01
4944f70d,90,87,2025-03-01
0d295795,146,28,2025-04-11
57f2cfeb,126,17,2025-05-02
fab42764,137,26,2025-02-17
a337882d,75,53,2025-03-11
d62c3d82,136,1,2025-04-05
f86b014b,75,13,2025-03-08
2206d54b,63,20,2025-02-20
8307ca84,92,97,2025-01-07
e50e451d,58,1,2025-03-03
c8108470,70,37,2025-01-25
